Unit_id,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights
1534,1635-1992,Urban,3,Orange,8,ADSL1,1.434,2.006,1.487,0.822,0.991,0.821,35.195,0.008,35.038,0.031,0.809,0.832,0.815,1.171,25.479,0.47%,26.614,1.41%,2749.943,3204.106,
1550,763-946,Urban,3,Sky,8,ADSL1,5.932,6.065,5.922,0.681,0.774,0.676,25.969,0.001,24.89,0,0.795,0.474,0.774,0.542,28.097,0.24%,27.881,0.05%,1478.894,1509.928,
1562,1367-1635,Rural,1,Orange,8,ADSL1,3.684,4.715,3.365,0.379,0.497,0.387,58.836,0.003,61.058,0,1.502,1.75,1.457,2.933,54.805,0.79%,57.74,0.71%,1543.511,1698.513,
1564,1367-1635,Urban,3,Virgin,60,Cable,44.479,62.678,34.973,3.052,3.158,3.049,12.581,0.003,14.239,0,1.968,0.37,3.471,0.79,12.555,0.09%,14.443,0.01%,251.559,336.157,1
1565,2563-5000,Rural,3,AOL,8,ADSL1,2.439,2.574,2.465,0.604,0.703,0.581,52.379,0.002,49.323,0,0.633,0.682,0.693,0.952,38.256,0.04%,40.508,0.04%,1939.415,2731.879,
1571,1367-1635,Urban,2,BT,20,ADSL1,4.476,7.453,4.697,0.925,1.056,0.924,26.274,0.001,26.293,0,0.579,0.421,0.576,0.573,25.236,0.30%,25.34,0.09%,1550.53,1400.458,1.22
1578,582-763,Urban,3,Sky,20,ADSL2+,11.961,12.476,11.694,0.711,0.792,0.715,19.478,0.001,18.946,0,0.713,0.333,0.744,0.482,21.961,0.11%,22.544,0.14%,1096.836,788.957,0.89
1589,0-385,Urban,1,BT,8,ADSL1,6.698,6.978,6.69,0.388,0.438,0.388,15.666,0,15.74,0,0.842,0.425,0.84,0.473,14.071,0.06%,14.163,0.08%,608.223,641.231,
1599,582-763,Urban,3,Sky,20,ADSL2+,10.465,10.575,10.479,0.824,0.933,0.812,27.945,0.006,27.592,0.031,0.937,0.293,0.931,0.308,23.295,0.28%,23.307,0.23%,611.998,660.246,0.89
1601,1635-1992,Urban,3,AOL,8,ADSL1,4.503,5.565,4.402,0.384,0.441,0.376,53.423,0.004,48.91,0,2.027,1.375,,,42.494,0.17%,46.262,0.37%,1656.892,1570.836,
1618,2563-5000,Rural,1,BT,8,ADSL1,2.061,2.366,2.042,0.4,0.52,0.384,50.536,0.002,50.719,0.006,0.742,0.496,0.751,0.593,49.704,0.38%,49.651,0.62%,3315.779,3362.408,
1621,1635-1992,Urban,3,Sky,20,ADSL2+,6.835,8.228,6.658,0.955,1.074,0.928,24.02,0.001,24.121,0,0.63,0.583,0.654,0.782,25.191,0.11%,27.4,0.24%,1563.688,1614.357,1.02
1635,1367-1635,Urban,2,Sky,20,ADSL2+,8.78,9.037,8.764,1.073,1.231,1.062,24.172,0.001,23.566,0.002,0.695,0.86,0.76,0.859,24.743,0.08%,24.935,0.08%,1186.219,1372.739,1.02
1649,385-582,Urban,1,AAisp,20,ADSL1,15.684,17.199,14.934,1.155,1.317,1.14,56.671,0.001,55.306,0,0.904,0.561,0.932,0.818,39.529,0.04%,40.165,0.27%,581.741,576.354,
1653,2563-5000,Urban,3,Virgin,60,Cable,62.054,63.075,60.72,3.339,3.589,3.346,15.477,0.002,16.373,0,3.177,0.289,3.83,0.579,19.302,0.11%,20.409,0.03%,348.824,383.267,1
1658,1635-1992,Urban,3,BT,8,ADSL1,0.688,0.707,,0.4,0.455,,44.837,0,,,0.845,0.684,,,43.507,0.01%,,,5145.817,,1.28
